B,CP_COPILOT_AUDIO_SKP_BTN,Copilot skip switch,Copilot side panel
B,CP_COPILOT_AUDIO_ST_BTN,Copilot ST switch,Copilot side panel
B,CP_COPILOT_BELOW_GS_BTN,Copilot below glideslope button,Copilot side panel
B,CP_COPILOT_DAVTRON_DIM_SW,Copilot bright-dim knob,Copilot side panel
B,CP_COPILOT_DAVTRON_SET_SW,Copilot min-sec set knob,Copilot side panel
B,CP_COPILOT_DAVTRON_TIME_SW,Copilot time set knob,Copilot side panel
B,CP_COPILOT_DAVTRON_ZERO_SW,Copilot zero set knob,Copilot side panel
B,CP_COPILOT_EBATT_BTN,Copilot electronic battery switch,Copilot side panel
B,CP_COPILOT_EFIS_TEST_BTN,Copilot EFIS test button,Copilot side panel
B,CP_COPILOT_ELT_SW,Copilot ELT switch,Copilot side panel
B,CP_COPILOT_FLOOR_SW,Copilot floor knob,Copilot side panel
B,CP_COPILOT_GALLEY_BTN,Copilot galley power switch,Copilot side panel
B,CP_COPILOT_OXY_MASK_TEST,Copilot oxygen mask test button,Copilot side panel
B,CP_COPILOT_PITOT_KNOB,Copilot static source switch,Copilot side panel
B,CP_COPILOT_PULL_UP_BTN,Copilot pull up button,Copilot side panel
B,CP_COPILOT_SIDE_IRS_TEST_BTN,Copilot IRS test button,Copilot side panel
B,CP_COPILOT_TAS_BACK_BTN,Copilot display ambient temperature button,Copilot side panel
B,CP_COPILOT_TAS_DIM_KNOB,Copilot tas dim knob,Copilot side panel
B,CP_COPILOT_VSI_AB_BTN,Copilot above/below switch,Copilot side panel
B,CP_COPILOT_VSI_R_BTN,Copilot range switch,Copilot side panel
B,CP_COSIDE_SYS_APU_BUTTON_BLEEDAIR,APU bleed air button,Copilot side panel
B,CP_COSIDE_SYS_APU_BUTTON_GEN,APU gen button,Copilot side panel
B,CP_COSIDE_SYS_APU_BUTTON_MASTER,APU master button,Copilot side panel
B,CP_COSIDE_SYS_APU_BUTTON_START,APU start button,Copilot side panel
B,CP_COSIDE_SYS_APU_BUTTON_STOP,APU stop button,Copilot side panel
B,CP_CTL_CP,CTL cp switch,Copilot side panel
B,CP_IRS_MODE_KNOB,Mode knob (copilot side),Copilot side panel
B,CP_OXY_MODE_KNOB,OXY mode knob,Copilot side panel
B,CP_OXY_RESET_BUTTON,Oxygen reset button,Copilot side panel
B,GENERAL_COCKPIT_DOOR_HANDLE,Cockpit door switch (general),Cockpit general
B,GENERAL_COCKPIT_DOOR_HANDLE_2,Cockpit door switch (general),Cockpit general
B,GENERAL_COPILOT_ARM_REST,Copilot armrest switch (general),Cockpit general
B,GENERAL_COPILOT_ARM_REST_R,Copilot armrest switch (general),Cockpit general
B,GENERAL_COPILOT_WINDOW_BLIND,Copilot window blind switch,Cockpit general
B,GENERAL_IPHONE,Iphone switch,Cockpit general
B,GENERAL_PILOT_ARM_REST,Pilot armrest switch (general),Cockpit general
B,GENERAL_PILOT_ARM_REST_L,Pilot armrest switch (general),Cockpit general
B,GENERAL_PILOT_WINDOW_BLIND,Pilot window blind switch,Cockpit general
B,GENERAL_TOW_SIGN_SHOW,Show tow sign switch,Cockpit general
B,GENERAL_TOW_SIGN_STOW,Stow tow sign switch,Cockpit general
B,HANDLING_BUTTON_COPILOT_AP_DISC,Copilot AP disengage button,Yoke / flight controls
B,HANDLING_BUTTON_PILOT_AP_DISC,Pilot AP disengage button,Yoke / flight controls
B,HANDLING_ElevTrim,Elevator TRIM switch (pilot yoke) knob,Yoke / flight controls
B,HANDLING_ElevTrimCP,Elevator TRIM switch (copilot yoke) knob,Yoke / flight controls
B,HANDLING_YOKE_COPILOT_GA_BTN,Copilot go around button,Yoke / flight controls
B,HANDLING_YOKE_COPILOT_SYNC_BTN,Sync button (copilot yoke) button,Yoke / flight controls
B,HANDLING_YOKE_PILOT_GA_BTN,Pilot go around button,Yoke / flight controls
B,HANDLING_YOKE_PILOT_SYNC_BTN,Sync button (pilot yoke) button,Yoke / flight controls
B,OVHD_ANTI_ICE_AIR_FRAME_SW,AI airframe knob,Overhead
B,OVHD_ANTI_ICE_ENG_1_SW,AI Engine 1 switch,Overhead
B,OVHD_ANTI_ICE_ENG_2_SW,AI Engine 2 switch,Overhead
B,OVHD_ANTI_ICE_ENG_3_SW,AI Engine 3 switch,Overhead
B,OVHD_BLEED_AIR_BAG_SW,Bleed air baggage comp switch,Overhead
B,OVHD_BLEED_AIR_CABIN_SW,Bleed air cabin knob,Overhead
B,OVHD_BLEED_AIR_CREW_SW,Bleed air cockpit knob,Overhead
B,OVHD_BLEED_AIR_HP_1_SW,Bleed air hp1 switch,Overhead
B,OVHD_BLEED_AIR_HP_2_SW,Bleed air hp2 switch,Overhead
B,OVHD_BLEED_AIR_HP_3_SW,Bleed air hp3 switch,Overhead
B,OVHD_BLEED_AIR_ISOLATION_SW,Bleed air isolation switch,Overhead
B,OVHD_BLEED_AIR_PRV_SW,Bleed air pressure relief valve switch,Overhead
B,OVHD_COPILOT_CTRSD_KNOB,Copilot side center light knob,Overhead
B,OVHD_COPILOT_DIGITS_KNOB,Copilot digits light knob,Overhead
B,OVHD_COPILOT_INST_KNOB,Copilot instrument light knob,Overhead
B,OVHD_COPILOT_MAP,Adjust copilot reading light brightness switch,Overhead
B,OVHD_COPILOT_OVHD_KNOB,Copilot overhead light knob,Overhead
B,OVHD_COPILOT_WIPER_SW,Copilot wiper right knob,Overhead
B,OVHD_DC_SYS_BAT_1_BTN,Bat 1 button,Overhead
B,OVHD_DC_SYS_BAT_2_BTN,Bat 2 button,Overhead
B,OVHD_DC_SYS_FLIGHT_KNOB,Bus tie switch,Overhead
B,OVHD_DC_SYS_GEN_1_BTN,Gen 1 button,Overhead
B,OVHD_DC_SYS_GEN_1_SW,Generator 1 switch,Overhead
B,OVHD_DC_SYS_GEN_2_BTN,Gen 2 button,Overhead
B,OVHD_DC_SYS_GEN_2_SW,Generator 2 switch,Overhead
B,OVHD_DC_SYS_GEN_3_BTN,Gen 3 button,Overhead
B,OVHD_DC_SYS_GEN_3_SW,Generator 3 switch,Overhead
B,OVHD_ENG_AIR_START_1_SW,Engine 1 ignition mode knob,Overhead
B,OVHD_ENG_AIR_START_2_SW,Engine 2 ignition mode knob,Overhead
B,OVHD_ENG_AIR_START_3_SW,Engine 3 ignition mode knob,Overhead
B,OVHD_ENG_CMPTR_1_SW,Engine 1 computer switch,Overhead
B,OVHD_ENG_CMPTR_2_SW,Engine 2 computer switch,Overhead
B,OVHD_ENG_CMPTR_3_SW,Engine 3 computer switch,Overhead
B,OVHD_ENG_EXT_PRW_SW,DC power knob,Overhead
B,OVHD_ENG_SPR_1_LT,Engine 1 SPR button,Overhead
B,OVHD_ENG_SPR_2_LT,Engine 2 SPR button,Overhead
B,OVHD_ENG_SPR_3_LT,Engine 3 SPR button,Overhead
B,OVHD_ENG_START_1_BTN,Engine 1 starter button,Overhead
B,OVHD_ENG_START_2_BTN,Engine 2 starter button,Overhead
B,OVHD_ENG_START_3_BTN,Engine 3 starter button,Overhead
B,OVHD_EXT_LT_ANTICOL_SW,Anti-collision light knob,Overhead
B,OVHD_EXT_LT_NAV_SW,Logo & NAV lights knob,Overhead
B,OVHD_EXT_LT_TAXI_SW,EXT light taxi switch,Overhead
B,OVHD_FUEL_XFR_PUMP_1_SW,Transfer pump 1 switch,Overhead
B,OVHD_FUEL_XFR_PUMP_2_SW,Transfer pump 2 switch,Overhead
B,OVHD_FUEL_XFR_PUMP_3_SW,Transfer pump 3 switch,Overhead
B,OVHD_INT_LT_BELTS,Seatbelts light switch,Overhead
B,OVHD_INT_LT_EMRG_SW,Emergency light knob,Overhead
B,OVHD_INT_LT_SMOKING,No smoking sign switch,Overhead
B,OVHD_INT_LT_SMOKING_SW,Smoking sign light switch,Overhead
B,OVHD_INVERTERS_ACBUS_1_LT_EMIS,AC bus 1 voltmeter button,Overhead
B,OVHD_INVERTERS_ACVUS_2_LT_EMIS,AC bus 2 voltmeter button,Overhead
B,OVHD_INVERTERS_AC_1_SW,AC inverter 1 switch,Overhead
B,OVHD_INVERTERS_AC_2_SW,AC inverter 2 switch,Overhead
B,OVHD_INVERTERS_STBY_SW,AC standby inverter knob,Overhead
B,OVHD_PILOT_CTRSD_KNOB,Pilot center side light knob,Overhead
B,OVHD_PILOT_DIGITS_KNOB,Pilot digits light knob,Overhead
B,OVHD_PILOT_INST_KNOB,Pilot instrument light knob,Overhead
B,OVHD_PILOT_MAP,Adjust pilot reading light brightness switch,Overhead
B,OVHD_PILOT_OVHD_KNOB,Pilot glareshield light knob,Overhead
B,OVHD_PILOT_WIPER_SW,Pilot wiper left knob,Overhead
B,OVHD_PITOT_COPILOT_SW,Copilot pitot heat right switch,Overhead
B,OVHD_PITOT_PILOT_SW,Pilot pitot heat left switch,Overhead
B,OVHD_SYS_ELEC_BUTTON_EFIS1,EFIS 1 master switch,Overhead
B,OVHD_SYS_ELEC_BUTTON_EFIS2,EFIS 2 master switch,Overhead
B,OVHD_SYS_ELEC_BUTTON_RADIO,Radio master switch,Overhead
B,OVHD_WINDSHIELD_COPILOT_SW,Windshield heat copilot side knob,Overhead
B,OVHD_WINDSHIELD_PILOT_SW,Windshield heat pilot side knob,Overhead
B,OVHD_WINDSHIELD_SIDE_SW,Windshield heat side windows switch,Overhead
B,PDSTL_ADC_12_BTN,ADC 1/2 switch,Pedestal
B,PDSTL_AILERON_RSW,Aileron knob,Pedestal
B,PDSTL_COPILOT_AP_2NDCRS_BTN,Copilot EFIS 2nd course button,Pedestal
B,PDSTL_COPILOT_AP_BRG_BTN,Copilot EFIS bearing button (pedestal),Pedestal
B,PDSTL_COPILOT_AP_COURSE_BTN,Copilot EFIS course button,Pedestal
B,PDSTL_COPILOT_AP_HSI_BTN,Copilot EFIS HSI mode button (pedestal),Pedestal
B,PDSTL_COPILOT_AP_RATEST_BTN,Copilot EFIS rate test button (pedestal),Pedestal
B,PDSTL_COPILOT_AP_RDR_BTN,Copilot EFIS radar button (pedestal),Pedestal
