Pressure Altitude: 0ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
Ind. M.,.450,.442,.433,.423,.415,.407,.399,.392,.381,.370
NM/lb,.1256,.1281,.1307,.1334,.1362,.1391,.1420,.1450,.1482,.1515
TAT (°C),6,6,5,5,5,4,4,4,3,2
TAS (kt),289,284,278,272,267,261,257,252,245,237
RPM (%),82.0,80.8,79.5,78.2,76.9,75.7,74.6,73.5,71.9,70.0
F/F (lb/hr),767,740,710,680,653,626,602,580,551,522
,,,,,,,,,,
Pressure Altitude: 10000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.450,.442,.433,.423,.415,.407,.399,.392,.381,.370
NM/lb,.1253,.1277,.1303,.1331,.1359,.1388,.1417,.1447,.1479,.1512
TAT (°C),17,16,16,15,15,15,14,14,13,13
TAS (kt),294,290,283,277,272,266,261,257,250,242
RPM (%),83.5,82.3,81.0,79.6,78.4,77.1,76.0,74.9,73.2,71.3
F/F (lb/hr),783,756,725,694,666,639,615,592,563,533
,,,,,,,,,,
Pressure Altitude: 10000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.450,.442,.433,.423,.415,.407,.399,.392,.381,.370
NM/lb,.1249,.1273,.1300,.1327,.1355,.1384,.1414,.1443,.1475,.1508
TAT (°C),27,27,26,26,25,25,25,24,24,23
TAS (kt),300,295,288,282,277,271,266,261,254,246
RPM (%),85.0,83.8,82.4,81.0,79.8,78.5,77.3,76.2,74.6,72.5
F/F (lb/hr),800,772,740,709,680,652,627,604,574,544
,,,,,,,,,,
Pressure Altitude: 15000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.491,.483,.474,.464,.453,.444,.433,.423,.414,.404
NM/lb,.1412,.1442,.1474,.1507,.1542,.1577,.1614,.1652,.1691,.1732
TAT (°C),-13,-13,-13,-14,-14,-15,-15,-16,-16,-16
TAS (kt),304,299,293,287,280,275,268,262,256,250
RPM (%),83.4,82.4,81.5,80.4,78.9,77.6,76.1,74.7,73.3,72.0
F/F (lb/hr),718,690,663,634,606,580,553,528,505,481
,,,,,,,,,,
Pressure Altitude: 15000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.491,.483,.474,.464,.453,.444,.433,.423,.414,.404
NM/lb,.1407,.1437,.1469,.1503,.1537,.1572,.1610,.1648,.1686,.1728
TAT (°C),-2,-2,-3,-3,-4,-4,-5,-5,-6,-6
TAS (kt),310,305,299,293,286,280,273,267,261,255
RPM (%),85.1,84.1,83.1,82.0,80.5,73.1,77.6,76.1,74.8,73.4
F/F (lb/hr),734,707,679,649,620,594,565,540,516,492
,,,,,,,,,,
Pressure Altitude: 15000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.491,.483,.474,.464,.453,.444,.433,.423,.414,.404
NM/lb,.1402,.1432,.1464,.1498,.1533,.1568,.1605,.1643,.1682,.1723
TAT (°C),8,8,8,7,6,6,5,5,5,4
TAS (kt),316,311,311,298,291,285,278,272,266,260
RPM (%),86.7,85.7,85.7,83.5,82.1,80.6,79.1,77.6,76.2,74.8
F/F (lb/hr),751,723,723,663,634,607,578,551,527,502
,,,,,,,,,,
Pressure Altitude: 15000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.491,.483,.474,.464,.453,.444,.433,.423,.414,.404
NM/lb,.1397,.1427,.1459,.1493,.1528,.1563,.1601,.1639,.1678,.1719
TAT (°C),19,18,18,17,17,14,16,15,15,15
TAS (kt),322,316,310,304,297,291,283,277,271,265
RPM (%),88.3,87.3,86.3,85.1,83.6,82.1,80.5,79.0,77.6,76.2
F/F (lb/hr),768,739,709,678,647,620,590,563,538,513
,,,,,,,,,,
Pressure Altitude: 20000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.547,.535,.523,.510,.498,.486,.473,.462,.452,.440
NM/lb,.1562,.1598,.1636,.1675,.1715,.1758,.1803,.1849,.1895,.1943
TAT (°C),-20,-21,-21,-22,-23,-23,-24,-24,-25,-25
TAS (kt),331,324,317,309,302,295,287,280,274,267
RPM (%),85.9,85.1,84.2,83.1,82.0,80.8,79.5,78.1,76.5,74.9
F/F (lb/hr),706,676,646,615,587,558,530,505,482,457
,,,,,,,,,,
Pressure Altitude: 20000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.547,.535,.523,.510,.498,.486,.473,.462,.452,.440
NM/lb,.1556,.1592,.1629,.1669,.1709,.1752,.1797,.1843,.1889,.1938
TAT (°C),-10,-10,-11,-11,-12,-13,-13,-14,-14,-15
TAS (kt),338,331,324,316,308,301,293,286,280,272
RPM (%),87.6,86.9,85.9,84.8,83.7,82.4,81.1,79.7,78.1,76.4
F/F (lb/hr),724,693,662,631,601,572,543,517,493,468
,,,,,,,,,,
Pressure Altitude: 20000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.547,.535,.523,.510,.498,.486,.473,.462,.452,.440
NM/lb,.1549,.1585,.1623,.1662,.1703,.1746,.1792,.1837,.1883,.1933
TAT (°C),1,0,0,-1,-2,-2,-3,-3,-4,-4
TAS (kt),345,338,330,322,315,307,299,292,285,278
RPM (%),89.4,88.6,87.6,86.5,85.4,84.1,82.7,81.3,79.7,78.0
F/F (lb/hr),741,710,678,646,615,585,555,529,504,479
,,,,,,,,,,
Pressure Altitude: 20000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.547,.535,.523,.510,.498,.486,.473,.462,.452,.440
NM/lb,.1542,.1578,.1616,.1656,.1697,.1740,.1786,.1832,.1878,.1927
TAT (°C),12,11,10,10,9,8,8,7,6,6
TAS (kt),351,344,337,328,321,313,304,297,291,283
RPM (%),91.1,90.3,89.3,88.2,87.0,85.7,84.3,82.8,81.2,79.4
F/F (lb/hr),759,727,694,660,630,599,568,541,516,489
,,,,,,,,,,
Pressure Altitude: 25000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.600,.591,.582,.567,.552,.539,.525,.508,.493,.478
NM/lb,.1734,.1777,.1820,.1866,.1916,.1966,.2019,.2076,.2134,.2198
TAT (°C),-28,-28,-29,-30,-30,-31,-32,-33,-33,-34
TAS (kt),355,350,344,336,327,320,311,302,293,284
RPM (%),87.7,87.0,86.2,85.3,84.3,83.4,82.3,81.0,79.6,78.1
F/F (lb/hr),681,656,631,600,569,542,514,484,457,431
,,,,,,,,,,
Pressure Altitude: 25000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.600,.591,.582,.567,.552,.539,.525,.508,.493,.478
NM/lb,.1725,.1768,.1811,.1858,.1907,.1958,.2011,.2068,.2127,.2189
TAT (°C),-17,-18,-18,-19,-20,-20,-21,-22,-23,-23
TAS (kt),362,357,352,343,334,327,318,308,299,290
RPM (%),89.6,88.9,88.1,87.1,86.1,85.2,84.1,82.7,81.3,79.7
F/F (lb/hr),700,674,647,615,584,556,527,497,468,441
,,,,,,,,,,
Pressure Altitude: 25000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.600,.591,.582,.567,.552,.539,.525,.508,.493,.478
NM/lb,.1716,.1759,.1802,.1849,.1899,.1950,.2003,.2060,.2119,.2181
TAT (°C),-7,-7,-8,-8,-9,-10,-11,-11,-12,-13
TAS (kt),370,365,359,350,341,333,325,315,305,296
RPM (%),91.4,90.7,89.9,88.9,87.9,87.0,85.9,84.4,83.0,81.4
F/F (lb/hr),718,691,664,631,598,570,540,509,480,452
,,,,,,,,,,
Pressure Altitude: 25000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.600,.591,.582,.567,.552,.539,.525,.508,.493,.478
NM/lb,.1708,.1750,.1794,.1841,.1891,.1942,.1995,.2053,.2112,.2174
TAT (°C),4,4,3,2,1,1,0,-1,-2,-3
TAS (kt),377,372,366,357,348,340,331,321,311,302
RPM (%),93.2,92.5,91.7,90.7,89.7,88.7,87.6,86.1,84.6,83.0
F/F (lb/hr),736,708,681,647,613,583,553,521,491,462
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.628,.614,.600,.589,.576,.559,.543,.529,.513,.495
NM/lb,.1792,.1839,.1889,.1939,.1991,.2046,.2104,.2163,.2226,.2293
TAT (°C),-31,-31,-32,-33,-33,-34,-35,-36,-36,-37
TAS (kt),368,360,352,345,338,328,319,311,302,291
RPM (%),88.5,87.7,86.8,86.0,85.1,84.0,83.0,82.0,80.6,79.1
F/F (lb/hr),684,652,621,594,566,535,506,480,452,424
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.628,.614,.600,.589,.576,.559,.543,.529,.513,.495
NM/lb,.1781,.1829,.1879,.1930,.1981,.2036,.2095,.2155,.2218,.2285
TAT (°C),-20,-21,-21,-22,-23,-24,-24,-25,-26,-27
TAS (kt),376,368,360,353,345,335,327,318,309,298
RPM (%),90.5,89.6,88.7,87.9,86.9,85.9,84.8,83.8,82.4,80.8
F/F (lb/hr),703,670,638,610,581,549,519,492,464,434
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.628,.614,.600,.589,.576,.559,.543,.529,.513,.495
NM/lb,.1771,.1819,.1869,.1920,.1972,.2027,.2086,.2146,.2209,.2277
TAT (°C),-9,-10,-11,-11,-12,-13,-14,-15,-15,-16
TAS (kt),384,376,367,361,353,343,333,325,315,304
RPM (%),92.4,91.5,90.6,89.7,88.8,87.7,86.6,85.5,84.1,82.5
F/F (lb/hr),722,688,655,626,596,563,533,504,475,445
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.628,.614,.600,.589,.576,.559,.543,.529,.513,.495
NM/lb,.1761,.1809,.1860,.1911,.1963,.2018,.2077,.2137,.2201,.2269
TAT (°C),2,1,0,-1,-1,-2,-3,-4,-5,-6
TAS (kt),392,383,375,368,360,349,340,331,321,310
RPM (%),94.3,93.3,92.4,91.6,90.6,89.4,88.4,87.3,85.8,84.2
