Pressure Altitude: 20000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1259,.1266,.1272,.1278,.1283,.1287,.1290,.1293,.1295,.1297
TAT (°C),-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
TAS (kt),451,451,451,451,451,451,451,451,451,451
RPM (%),95,94.9,94.8,94.7,94.6,94.5,94.5,94.4,94.4,94.3
F/F (lb/hr),1195,1188,1182,1177,1173,1169,1166,1163,1161,1159
,,,,,,,,,,
Pressure Altitude: 20000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1251,.1258,.1264,.1269,.1274,.1278,.1282,.1285,.1287,.1289
TAT (°C),3,3,3,3,3,3,3,3,3,3
TAS (kt),461,461,461,461,461,461,461,461,461,461
RPM (%),97,96.9,96.8,96.6,96.6,96.5,96.4,96.4,96.3,96.3
F/F (lb/hr),1228,1221,1215,1209,1205,1201,1198,1195,1193,1191
,,,,,,,,,,
Pressure Altitude: 20000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,,,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,,,.1255,.1261,.1266,.1270,.1274,.1276,.1279,.1280
TAT (°C),,,14,14,14,14,14,14,14,14
TAS (kt),,,470,470,470,470,470,470,470,470
RPM (%),,,98.7,98.6,98.5,98.4,98.3,98.3,98.2,98.2
F/F (lb/hr),,,1247,1242,1237,1233,1230,1227,1225,1223
,,,,,,,,,,
Pressure Altitude: 25000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1498,.1512,.1526,.1538,.1550,.1560,.1569,.1577,.1583,.1589
TAT (°C),-19,-19,-19,-19,-19,-19,-19,-19,-19,-19
TAS (kt),442,442,442,442,442,442,442,442,442,442
RPM (%),93.9,93.7,93.5,93.3,93.2,93,92.9,92.8,92.7,92.6
F/F (lb/hr),983,974,965,957,950,944,939,934,930,927
,,,,,,,,,,
Pressure Altitude: 25000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1488,.1502,.1515,.1528,.1539,.1549,.1558,.1566,.1572,.1578
TAT (°C),-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
TAS (kt),451,451,451,451,451,451,451,451,451,451
RPM (%),96,95.7,95.5,95.3,95.2,95,94.9,94.8,94.7,94.6
F/F (lb/hr),1011,1002,993,985,977,971,965,961,957,953
,,,,,,,,,,
Pressure Altitude: 25000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1477,.1491,.1505,.1517,.1529,.1539,.1548,.1556,.1562,.1568
TAT (°C),3,3,3,3,3,3,3,3,3,3
TAS (kt),461,461,461,461,461,461,461,461,461,461
RPM (%),98,97.7,97.5,97.3,97.1,97,96.9,96.7,96.6,96.6
F/F (lb/hr),1040,1030,1020,1012,1004,998,992,987,983,979
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1597,.1616,.1634,.1650,.1666,.1680,.1692,.1703,.1713,.1721
TAT (°C),-23,-23,-23,-23,-23,-23,-23,-23,-23,-23
TAS (kt),438,438,438,438,438,438,438,438,438,438
RPM (%),93.6,93.4,93.1,92.9,92.7,92.5,92.3,92.2,92,91.9
F/F (lb/hr),914,903,893,884,876,869,863,857,852,848
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1586,.1605,.1622,.1639,.1654,.1668,.1681,.1692,.1701,.1710
TAT (°C),-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
TAS (kt),448,448,448,448,448,448,448,448,448,448
RPM (%),95.7,95.4,95.2,94.9,94.7,94.5,94.3,94.2,94.1,93.9
F/F (lb/hr),941,930,919,910,902,894,887,882,877,873
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1575,.1593,.1611,.1627,.1643,.1657,.1670,.1681,.1690,.1699
TAT (°C),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TAS (kt),457,457,457,457,457,457,457,457,457,457
RPM (%),97.7,97.4,97.2,96.9,96.7,96.5,96.3,96.2,96,95.9
F/F (lb/hr),967,956,946,936,927,919,912,906,901,897
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,,,,.750,.750,.750,.750,.750,.750,.750
NM/lb,,,,.1617,.1632,.1646,.1658,.1669,.1679,.1688
TAT (°C),,,,10,10,10,10,10,10,10
TAS (kt),,,,466,466,466,466,466,466,466
RPM (%),,,,98.9,98.7,98.4,98.3,98.1,98,97.9
F/F (lb/hr),,,,961,952,944,937,931,926,921
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1698,.1723,.1746,.1768,.1788,.1807,.1824,.1839,.1853,.1865
TAT (°C),-28,-28,-28,-28,-28,-28,-28,-28,-28,-28
TAS (kt),434,434,434,434,434,434,434,434,434,434
RPM (%),93.4,93.1,92.8,92.5,92.2,92,91.8,91.6,91.4,91.3
F/F (lb/hr),852,840,829,818,809,801,793,787,781,776
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1686,.1710,.1734,.1755,.1776,.1794,.1812,.1827,.1840,.1853
TAT (°C),-17,-17,-17,-17,-17,-17,-17,-17,-17,-17
TAS (kt),444,444,444,444,444,444,444,444,444,444
RPM (%),95.5,95.2,94.9,94.6,94.3,94,93.8,93.6,93.5,93.3
F/F (lb/hr),877,865,853,843,833,824,817,810,804,798
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.750,.750,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,.1674,.1698,.1721,.1743,.1763,.1782,.1799,.1815,.1828,.1840
TAT (°C),-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
TAS (kt),453,453,453,453,453,453,453,453,453,453
RPM (%),97.6,97.2,96.9,96.6,96.3,96.1,95.8,95.6,95.5,95.3
F/F (lb/hr),903,890,878,867,857,848,840,833,827,821
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,,,.750,.750,.750,.750,.750,.750,.750,.750
NM/lb,,,.1709,.1731,.1751,.1770,.1787,.1802,.1816,.1828
